Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
         Department of Veterans Affairs,897.0,933.0,961.0,1015.0,1058.0,1119.0,1153.0,1268.0,1344.0,1484.0,1719.0,1983.0,2291.0,2646.0,2900.0,3381.0,4066.0,4146.0,4859.0,5073.0,5740.0,6261.0,6905.0,7396.0,8070.0,8332.0,8775.0,9236.0,9629.0,10134.0,10939.0,11852.0,12594.0,13621.0,14612.0,14840.0,15567.0,15488.0,16333.0,17509.0,19082.0,21083.0,22782.0,26517.0,27951.0,29802.0,31861.0,33198.0,37686.0,42463.0,45723.0,48170.0,49758.0,52840.0,57931.0,64688.0
     Other Third Party Payers and Programs,3889.0,4329.0,4703.0,5206.0,5659.0,6334.0,6226.0,5996.0,6842.0,7758.0,8974.0,9624.0,10232.0,11317.0,12970.0,14547.0,16364.0,18163.0,20859.0,24141.0,28550.0,32801.0,36316.0,38842.0,41372.0,46711.0,53017.0,59028.0,66746.0,70559.0,77078.0,82429.0,88071.0,93570.0,97292.0,100872.0,104735.0,110273.0,119949.0,123041.0,124920.0,131406.0,138888.0,152274.0,160884.0,168933.0,179546.0,191760.0,188553.0,192405.0,204348.0,207599.0,227743.0,235181.0,241522.0,247224.0
         Worksite Health Care,62.0,66.0,71.0,78.0,87.0,97.0,110.0,128.0,147.0,171.0,196.0,217.0,246.0,281.0,327.0,373.0,448.0,530.0,617.0,719.0,826.0,953.0,1041.0,1156.0,1306.0,1393.0,1522.0,1685.0,1867.0,2035.0,2228.0,2343.0,2484.0,2610.0,2731.0,2863.0,2975.0,3112.0,3220.0,3323.0,3518.0,3655.0,3775.0,3925.0,4102.0,4282.0,4389.0,4544.0,4547.0,4573.0,4701.0,4910.0,5175.0,5366.0,5687.0,6066.0
         Other Private Revenues,295.0,330.0,365.0,421.0,486.0,570.0,662.0,776.0,984.0,1181.0,1458.0,1636.0,1899.0,2014.0,2321.0,2548.0,3650.0,4050.0,5047.0,6065.0,8464.0,10518.0,12513.0,13884.0,15393.0,18243.0,20543.0,22670.0,26577.0,27899.0,29171.0,31483.0,33870.0,36365.0,38139.0,42219.0,45832.0,50358.0,57649.0,59101.0,57248.0,55457.0,56544.0,61904.0,66277.0,70715.0,79569.0,89720.0,85692.0,91589.0,100361.0,100017.0,116048.0,119348.0,123157.0,124258.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,255.0,307.0,375.0,412.0,447.0,513.0,502.0,556.0,650.0,721.0,716.0,763.0,809.0,797.0,995.0,1203.0,1436.0,1477.0,1495.0,1652.0,1623.0,1725.0,1698.0,1751.0,1900.0,2108.0,2117.0,2294.0,2418.0,2439.0,2535.0,2569.0,2721.0,3087.0,3469.0,3520.0,3657.0,3579.0,3709.0,3770.0
         Workers' Compensation,615.0,644.0,705.0,742.0,807.0,870.0,991.0,1100.0,1244.0,1372.0,1532.0,1570.0,1715.0,2051.0,2382.0,2669.0,3031.0,3506.0,4026.0,4945.0,5606.0,6189.0,6929.0,7285.0,7661.0,8937.0,10083.0,11957.0,13816.0,15519.0,17530.0,18958.0,21100.0,22607.0,22189.0,21914.0,22050.0,22140.0,23062.0,24180.0,26476.0,30488.0,34136.0,38595.0,39879.0,41533.0,41771.0,41327.0,40049.0,35971.0,36233.0,39102.0,42354.0,44217.0,46506.0,49416.0
         General Assistance,102.0,110.0,102.0,103.0,112.0,122.0,182.0,240.0,299.0,359.0,417.0,477.0,582.0,691.0,827.0,1000.0,1131.0,1281.0,1358.0,1548.0,1899.0,2226.0,2437.0,2649.0,2875.0,3189.0,3422.0,3552.0,3742.0,4138.0,5032.0,5187.0,5531.0,5037.0,5451.0,5437.0,5414.0,5167.0,4928.0,3874.0,3940.0,4819.0,5138.0,5591.0,5904.0,6195.0,6721.0,6928.0,7146.0,7155.0,7071.0,6669.0,6423.0,6686.0,7062.0,6834.0
         Maternal/Child Health,116.0,172.0,180.0,201.0,220.0,244.0,291.0,324.0,377.0,435.0,409.0,453.0,482.0,467.0,525.0,565.0,619.0,665.0,701.0,775.0,864.0,879.0,935.0,1081.0,1111.0,1290.0,1391.0,1510.0,1580.0,1631.0,1693.0,1934.0,2146.0,2298.0,2443.0,2533.0,2644.0,2813.0,2900.0,3002.0,3158.0,3271.0,3393.0,3477.0,3469.0,3436.0,3334.0,3763.0,4147.0,3947.0,3912.0,3674.0,3418.0,3578.0,3707.0,3704.0
                          Federal  ,27.0,44.0,48.0,50.0,60.0,80.0,114.0,142.0,167.0,190.0,148.0,191.0,234.0,204.0,243.0,276.0,297.0,311.0,330.0,339.0,344.0,339.0,343.0,398.0,348.0,407.0,395.0,433.0,459.0,476.0,478.0,518.0,565.0,578.0,594.0,587.0,580.0,582.0,588.0,603.0,609.0,619.0,636.0,634.0,635.0,622.0,598.0,600.0,594.0,591.0,591.0,583.0,562.0,545.0,569.0,570.0
                          State and Local,89.0,127.0,133.0,150.0,159.0,164.0,176.0,182.0,210.0,244.0,261.0,263.0,248.0,264.0,282.0,290.0,322.0,354.0,371.0,436.0,520.0,540.0,593.0,683.0,763.0,883.0,996.0,1078.0,1121.0,1155.0,1216.0,1416.0,1581.0,1720.0,1850.0,1946.0,2064.0,2231.0,2312.0,2399.0,2549.0,2652.0,2757.0,2843.0,2834.0,2815.0,2736.0,3163.0,3552.0,3356.0,3322.0,3091.0,2856.0,3034.0,3138.0,3134.0
         Vocational Rehabilitation,20.0,22.0,25.0,29.0,33.0,41.0,58.0,88.0,115.0,131.0,155.0,180.0,184.0,190.0,202.0,210.0,210.0,219.0,220.0,224.0,223.0,229.0,233.0,246.0,257.0,262.0,270.0,289.0,300.0,308.0,318.0,332.0,343.0,338.0,360.0,360.0,352.0,367.0,378.0,389.0,421.0,449.0,463.0,469.0,468.0,461.0,498.0,497.0,489.0,518.0,558.0,552.0,530.0,523.0,526.0,534.0
                          Federal  ,12.0,14.0,15.0,18.0,20.0,27.0,42.0,66.0,86.0,100.0,121.0,140.0,144.0,149.0,158.0,164.0,163.0,170.0,168.0,171.0,170.0,172.0,172.0,183.0,195.0,200.0,207.0,223.0,232.0,238.0,246.0,257.0,264.0,253.0,271.0,271.0,263.0,276.0,286.0,293.0,317.0,342.0,355.0,359.0,361.0,355.0,377.0,373.0,374.0,398.0,435.0,432.0,411.0,405.0,406.0,412.0
                          State and Local,8.0,8.0,10.0,11.0,13.0,15.0,16.0,22.0,29.0,31.0,34.0,40.0,40.0,41.0,44.0,46.0,48.0,49.0,52.0,53.0,53.0,57.0,61.0,62.0,62.0,62.0,63.0,66.0,68.0,70.0,72.0,75.0,79.0,85.0,89.0,89.0,89.0,91.0,92.0,96.0,104.0,107.0,108.0,110.0,106.0,106.0,121.0,124.0,115.0,120.0,122.0,120.0,119.0,118.0,120.0,122.0
         Other Federal Programs*,337.0,447.0,598.0,715.0,750.0,831.0,653.0,463.0,489.0,621.0,927.0,1102.0,963.0,980.0,1086.0,695.0,823.0,854.0,948.0,1116.0,1343.0,1334.0,1184.0,1044.0,1065.0,1108.0,1133.0,1197.0,1271.0,1331.0,1556.0,1844.0,2050.0,2265.0,2472.0,2552.0,2841.0,3118.0,3395.0,3855.0,4462.0,5295.0,5676.0,6015.0,6272.0,6363.0,6421.0,6721.0,6924.0,7301.0,7739.0,9560.0,11574.0,12962.0,12159.0,12263.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,537.0,581.0,689.0,663.0,825.0,799.0,636.0,599.0,607.0,515.0,533.0,644.0,884.0,698.0,1372.0,1656.0,1685.0,1714.0,1889.0,2067.0,1783.0,1500.0,2026.0,2395.0,2564.0,2812.0,3006.0,3093.0,3125.0,3219.0,3153.0,3166.0,3206.0,3309.0,3385.0,3448.0,3420.0,3284.0,3495.0,3473.0
         Other State and Local Programs**,2221.0,2399.0,2510.0,2773.0,3013.0,3392.0,3093.0,2661.0,2944.0,3226.0,3589.0,3682.0,3839.0,4296.0,4922.0,5321.0,5227.0,5662.0,6319.0,7074.0,7389.0,8454.0,9151.0,9546.0,9600.0,10133.0,12417.0,13721.0,14801.0,15018.0,15889.0,16126.0,16011.0,17304.0,18422.0,17490.0,17330.0,17935.0,18497.0,18841.0,18750.0,20363.0,21753.0,23879.0,25776.0,26928.0,27584.0,28631.0,29543.0,30754.0,32626.0,31865.0,30827.0,31204.0,30977.0,32294.0
         School Health,122.0,140.0,147.0,143.0,151.0,168.0,187.0,215.0,242.0,263.0,290.0,308.0,321.0,346.0,377.0,400.0,433.0,509.0,559.0,600.0,663.0,708.0,753.0,795.0,847.0,919.0,986.0,1040.0,1099.0,1185.0,1293.0,1363.0,1416.0,1553.0,1701.0,1785.0,1890.0,2037.0,2197.0,2330.0,2483.0,2689.0,2888.0,3032.0,3193.0,3363.0,3569.0,3895.0,4089.0,4201.0,4293.0,4282.0,4318.0,4435.0,4536.0,4612.0
     Public Health Activity,371.0,409.0,456.0,509.0,572.0,621.0,733.0,861.0,969.0,1174.0,1356.0,1676.0,1855.0,2123.0,2584.0,2967.0,3213.0,3815.0,4588.0,5375.0,6445.0,7531.0,8621.0,9251.0,9842.0,11212.0,12387.0,13572.0,15267.0,17773.0,19997.0,22129.0,24374.0,26779.0,29594.0,31003.0,32377.0,34832.0,37457.0,40731.0,43050.0,46792.0,52201.0,54233.0,54915.0,57161.0,60803.0,65864.0,71458.0,74056.0,75487.0,74157.0,77242.0,77945.0,79005.0,80926.0
                          Federal  ,102.0,108.0,140.0,208.0,226.0,214.0,294.0,401.0,470.0,564.0,594.0,791.0,893.0,854.0,969.0,1043.0,1110.0,1152.0,1154.0,1108.0,1235.0,1216.0,1141.0,1232.0,1298.0,1326.0,1340.0,1529.0,1795.0,2028.0,2263.0,2607.0,2915.0,3167.0,3630.0,3665.0,3759.0,3931.0,4065.0,4546.0,4879.0,5779.0,8017.0,8903.0,8938.0,9078.0,9424.0,9591.0,9771.0,11876.0,14056.0,10605.0,10723.0,10217.0,10696.0,11289.0
                          State and Local,269.0,302.0,316.0,301.0,347.0,407.0,439.0,460.0,499.0,610.0,762.0,885.0,962.0,1269.0,1615.0,1924.0,2104.0,2663.0,3434.0,4267.0,5210.0,6316.0,7480.0,8019.0,8544.0,9886.0,11047.0,12043.0,13472.0,15745.0,17734.0,19522.0,21459.0,23613.0,25964.0,27338.0,28618.0,30901.0,33392.0,36185.0,38170.0,41013.0,44184.0,45329.0,45977.0,48083.0,51378.0,56273.0,61687.0,62180.0,61431.0,63552.0,66519.0,67728.0,68309.0,69637.0
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,3146.0,8065.0,9759.0,11220.0,12962.0,15138.0,17639.0,20153.0,24501.0,29782.0,34883.0,40354.0,46133.0,53254.0,63419.0,75077.0,84361.0,94825.0,104440.0,112766.0,122212.0,133420.0,144045.0,163089.0,183842.0,213827.0,244183.0,272338.0,302084.0,329255.0,350919.0,371208.0,378807.0,398328.0,428164.0,475914.0,518880.0,557837.0,608953.0,656576.0,718631.0,767623.0,821410.0,884409.0,928023.0,965005.0,1004874.0,1049294.0,1128789.0,1205995.0
Personal Health Care,23263.0,24755.0,26665.0,29076.0,32039.0,34720.0,38426.0,43500.0,49128.0,55510.0,63059.0,69437.0,77162.0,86152.0,98784.0,113217.0,129312.0,146674.0,164236.0,187128.0,216977.0,251789.0,283073.0,311677.0,341645.0,376376.0,408840.0,447696.0,498497.0,550414.0,615326.0,675896.0,731455.0,778684.0,820172.0,869578.0,917540.0,969531.0,1026103.0,1086280.0,1162035.0,1261944.0,1367628.0,1477697.0,1587994.0,1696222.0,1804672.0,1918820.0,2010690.0,2114221.0,2194625.0,2272582.0,2365948.0,2435624.0,2562824.0,2717230.0
     Out of pocket,12949.0,13357.0,14255.0,15311.0,16928.0,18209.0,18594.0,18537.0,20500.0,22601.0,24953.0,26312.0,28646.0,31625.0,34373.0,37262.0,40647.0,44853.0,48016.0,52312.0,58146.0,65355.0,72450.0,78619.0,86500.0,95640.0,103610.0,109652.0,120217.0,126651.0,137882.0,140815.0,143178.0,144098.0,142035.0,144817.0,150354.0,161432.0,176906.0,187681.0,198966.0,206272.0,219314.0,235648.0,248479.0,263806.0,273196.0,289916.0,294881.0,293130.0,298727.0,308519.0,317607.0,325130.0,329652.0,338150.0
     Health Insurance,6634.0,7293.0,7967.0,8828.0,9806.0,10655.0,14046.0,19388.0,22277.0,25683.0,29650.0,33986.0,38795.0,43827.0,52109.0,62097.0,73055.0,84590.0,96526.0,112238.0,132100.0,155573.0,176377.0,196099.0,215287.0,235725.0,253956.0,281361.0,314143.0,355504.0,402936.0,455028.0,503335.0,545446.0,586202.0,629442.0,668168.0,703031.0,734213.0,780209.0,844196.0,932205.0,1019982.0,1103253.0,1193089.0,1279211.0,1368081.0,1452128.0,1538597.0,1636657.0,1699295.0,1766100.0,1833118.0,1891021.0,2009446.0,2151242.0
          Private Health Insurance,4960.0,5537.0,6158.0,6901.0,7901.0,8717.0,8854.0,9063.0,10194.0,12008.0,14065.0,15828.0,17727.0,19804.0,23455.0,27740.0,33120.0,38936.0,44606.0,52756.0,61541.0,72565.0,82944.0,91841.0,100727.0,112102.0,119895.0,135398.0,157314.0,179344.0,204788.0,225629.0,243563.0,257360.0,269745.0,286726.0,302846.0,320254.0,344824.0,371661.0,406087.0,445321.0,488146.0,527140.0,565066.0,604865.0,636230.0,671795.0,700983.0,734424.0,754768.0,784092.0,812489.0,829293.0,875154.0,944686.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,1722.0,4731.0,5931.0,6735.0,7276.0,8036.0,8851.0,10182.0,12748.0,15610.0,18815.0,22136.0,25666.0,29900.0,36260.0,43457.0,51060.0,58116.0,64599.0,69795.0,74769.0,80951.0,86404.0,98277.0,107266.0,117273.0,132368.0,146235.0,163430.0,179858.0,193573.0,204204.0,202559.0,206035.0,216333.0,239111.0,256551.0,274001.0,300096.0,326278.0,382297.0,408710.0,442014.0,470329.0,488535.0,513520.0,535105.0,555120.0,580583.0,605024.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,1252.0,3019.0,3385.0,3984.0,5039.0,6411.0,7973.0,9013.0,10590.0,12839.0,14429.0,16520.0,18406.0,21134.0,24697.0,28795.0,30418.0,33486.0,36181.0,38761.0,43019.0,47719.0,52173.0,58651.0,69693.0,88921.0,103417.0,116453.0,126856.0,136250.0,144510.0,151334.0,158293.0,171259.0,186920.0,208405.0,230060.0,249418.0,270729.0,287552.0,283306.0,301114.0,317858.0,346200.0,365756.0,373888.0,388450.0,406423.0,446703.0,486457.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,605.0,1461.0,1753.0,2195.0,2708.0,3643.0,4360.0,4697.0,5994.0,7048.0,8661.0,9317.0,10220.0,11906.0,13692.0,15930.0,16811.0,18527.0,19891.0,21270.0,23777.0,26376.0,29339.0,33168.0,40330.0,54409.0,66021.0,73680.0,77341.0,81742.0,86876.0,89651.0,92721.0,100296.0,109322.0,123488.0,135177.0,149729.0,161139.0,165454.0,161510.0,171852.0,188295.0,230601.0,247262.0,228186.0,223868.0,234663.0,274369.0,306153.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,647.0,1558.0,1632.0,1788.0,2331.0,2767.0,3612.0,4316.0,4596.0,5790.0,5768.0,7203.0,8186.0,9228.0,11006.0,12865.0,13608.0,14959.0,16289.0,17491.0,19242.0,21344.0,22834.0,25483.0,29364.0,34512.0,37396.0,42774.0,49515.0,54507.0,57635.0,61683.0,65572.0,70963.0,77598.0,84917.0,94883.0,99689.0,109590.0,122098.0,121796.0,129263.0,129563.0,115599.0,118494.0,145702.0,164582.0,171760.0,172334.0,180304.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,1489.0,2530.0,3489.0,4561.0,5305.0,6150.0,6449.0,7189.0,7766.0,8695.0,9533.0,9706.0,10038.0,10701.0,11376.0,10838.0,12028.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,1036.0,1762.0,2441.0,3191.0,3720.0,4275.0,4477.0,4944.0,5380.0,6070.0,6713.0,6776.0,7021.0,7445.0,7892.0,7562.0,8979.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,453.0,768.0,1048.0,1370.0,1585.0,1875.0,1971.0,2245.0,2386.0,2625.0,2820.0,2930.0,3017.0,3256.0,3483.0,3276.0,3049.0
         Department of Defense,786.0,834.0,858.0,923.0,859.0,830.0,1077.0,1319.0,1436.0,1489.0,1569.0,1749.0,1976.0,2210.0,2449.0,2563.0,2666.0,2890.0,3035.0,3423.0,3912.0,4546.0,5105.0,5320.0,5774.0,6796.0,7552.0,8103.0,8667.0,9144.0,10293.0,11406.0,11453.0,11853.0,11639.0,11842.0,11744.0,11819.0,11924.0,12330.0,13324.0,14887.0,17996.0,21031.0,23300.0,24481.0,27382.0,29671.0,31426.0,33791.0,34842.0,36424.0,36644.0,36022.0,38273.0,38595.0
         Department of Veterans Affairs,887.0,922.0,950.0,1004.0,1046.0,1108.0,1141.0,1256.0,1332.0,1468.0,1701.0,1962.0,2268.0,2619.0,2867.0,3344.0,4025.0,4108.0,4813.0,5026.0,5690.0,6210.0,6850.0,7336.0,8006.0,8271.0,8722.0,9189.0,9585.0,10088.0,10895.0,11800.0,12534.0,13544.0,14532.0,14765.0,15495.0,15420.0,16264.0,17436.0,19002.0,20993.0,22669.0,26359.0,27748.0,29587.0,31677.0,33070.0,37620.0,42380.0,45687.0,48138.0,49728.0,52787.0,57895.0,64453.0
     Other Third Party Payers and Programs,3680.0,4105.0,4442.0,4937.0,5305.0,5857.0,5786.0,5576.0,6351.0,7227.0,8455.0,9140.0,9721.0,10700.0,12302.0,13858.0,15610.0,17230.0,19694.0,22578.0,26730.0,30861.0,34247.0,36959.0,39858.0,45011.0,51274.0,56684.0,64137.0,68259.0,74508.0,80052.0,84941.0,89140.0,91936.0,95320.0,99017.0,105068.0,114984.0,118390.0,118874.0,123467.0,128332.0,138795.0,146426.0,153204.0,163395.0,176776.0,177212.0,184434.0,196603.0,197962.0,215223.0,219473.0,223726.0,227838.0
         Worksite Health Care,62.0,66.0,71.0,78.0,87.0,97.0,110.0,128.0,147.0,171.0,196.0,217.0,246.0,281.0,327.0,373.0,448.0,530.0,617.0,719.0,826.0,953.0,1041.0,1156.0,1306.0,1393.0,1522.0,1685.0,1867.0,2035.0,2228.0,2343.0,2484.0,2610.0,2731.0,2863.0,2975.0,3112.0,3220.0,3323.0,3518.0,3655.0,3775.0,3925.0,4102.0,4282.0,4389.0,4544.0,4547.0,4573.0,4701.0,4910.0,5175.0,5366.0,5687.0,6066.0
         Other Private Revenues,295.0,330.0,365.0,421.0,486.0,570.0,662.0,776.0,984.0,1181.0,1458.0,1636.0,1899.0,2014.0,2321.0,2548.0,3650.0,4050.0,5047.0,6065.0,8464.0,10518.0,12513.0,13884.0,15393.0,18243.0,20543.0,22670.0,26577.0,27899.0,29171.0,31483.0,33870.0,36365.0,38139.0,42219.0,45832.0,50358.0,57649.0,59101.0,57248.0,55457.0,56544.0,61904.0,66277.0,70715.0,79569.0,89720.0,85692.0,91589.0,100361.0,100017.0,116048.0,119348.0,123157.0,124258.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,247.0,297.0,363.0,399.0,435.0,498.0,487.0,540.0,630.0,699.0,695.0,742.0,785.0,769.0,961.0,1163.0,1391.0,1429.0,1441.0,1593.0,1564.0,1663.0,1631.0,1677.0,1816.0,2017.0,2025.0,2197.0,2321.0,2341.0,2434.0,2468.0,2621.0,2973.0,3330.0,3377.0,3502.0,3425.0,3521.0,3584.0
         Workers' Compensation,435.0,460.0,495.0,525.0,565.0,600.0,681.0,751.0,830.0,922.0,1052.0,1131.0,1253.0,1482.0,1765.0,2038.0,2379.0,2687.0,2981.0,3512.0,3925.0,4400.0,5030.0,5570.0,6317.0,7421.0,8528.0,9805.0,11413.0,13432.0,15199.0,16846.0,18261.0,18508.0,17188.0,16728.0,16711.0,17311.0,18490.0,19951.0,20884.0,23043.0,24093.0,25640.0,25949.0,26327.0,26151.0,26909.0,29273.0,28600.0,29365.0,30687.0,31690.0,31662.0,31721.0,32428.0
         General Assistance,102.0,110.0,102.0,103.0,112.0,122.0,182.0,240.0,299.0,359.0,417.0,477.0,582.0,691.0,827.0,1000.0,1131.0,1281.0,1358.0,1548.0,1899.0,2226.0,2437.0,2649.0,2875.0,3189.0,3422.0,3552.0,3742.0,4138.0,5032.0,5187.0,5531.0,5037.0,5451.0,5437.0,5414.0,5167.0,4928.0,3874.0,3940.0,4819.0,5138.0,5591.0,5904.0,6195.0,6721.0,6928.0,7146.0,7155.0,7071.0,6669.0,6423.0,6686.0,7062.0,6834.0
         Maternal/Child Health,109.0,161.0,169.0,188.0,206.0,229.0,273.0,304.0,353.0,407.0,383.0,424.0,451.0,436.0,492.0,536.0,580.0,615.0,654.0,722.0,804.0,818.0,872.0,1009.0,1040.0,1209.0,1305.0,1417.0,1483.0,1530.0,1588.0,1813.0,2013.0,2155.0,2292.0,2376.0,2481.0,2640.0,2723.0,2817.0,2964.0,3071.0,3185.0,3264.0,3258.0,3226.0,3131.0,3529.0,3894.0,3708.0,3674.0,3452.0,3210.0,3359.0,3482.0,3479.0
                          Federal  ,26.0,43.0,47.0,49.0,59.0,79.0,113.0,140.0,164.0,187.0,145.0,187.0,229.0,199.0,239.0,271.0,292.0,306.0,325.0,333.0,338.0,333.0,337.0,395.0,346.0,405.0,392.0,430.0,456.0,473.0,475.0,514.0,562.0,575.0,590.0,583.0,576.0,578.0,584.0,600.0,606.0,615.0,632.0,630.0,631.0,618.0,595.0,597.0,591.0,588.0,587.0,580.0,558.0,541.0,565.0,567.0
                          State and Local,83.0,117.0,123.0,139.0,147.0,150.0,160.0,163.0,189.0,220.0,238.0,237.0,222.0,237.0,254.0,265.0,289.0,310.0,329.0,389.0,466.0,486.0,535.0,614.0,694.0,804.0,912.0,987.0,1027.0,1057.0,1114.0,1299.0,1452.0,1581.0,1702.0,1793.0,1905.0,2061.0,2138.0,2218.0,2359.0,2456.0,2553.0,2634.0,2627.0,2608.0,2537.0,2932.0,3303.0,3120.0,3087.0,2872.0,2652.0,2818.0,2917.0,2912.0
         Vocational Rehabilitation,19.0,21.0,24.0,28.0,31.0,39.0,55.0,84.0,108.0,123.0,146.0,169.0,173.0,178.0,187.0,192.0,193.0,202.0,201.0,204.0,201.0,206.0,209.0,221.0,232.0,236.0,242.0,259.0,270.0,276.0,285.0,298.0,306.0,300.0,325.0,325.0,315.0,326.0,335.0,344.0,373.0,400.0,412.0,418.0,415.0,411.0,445.0,443.0,436.0,461.0,495.0,490.0,470.0,464.0,467.0,474.0
                          Federal  ,12.0,13.0,15.0,17.0,19.0,26.0,40.0,63.0,81.0,94.0,114.0,132.0,135.0,139.0,146.0,150.0,149.0,157.0,154.0,156.0,153.0,154.0,154.0,165.0,176.0,180.0,186.0,200.0,209.0,213.0,220.0,230.0,236.0,225.0,244.0,245.0,236.0,246.0,253.0,259.0,281.0,304.0,316.0,320.0,321.0,317.0,337.0,332.0,334.0,354.0,387.0,384.0,365.0,359.0,360.0,365.0
                          State and Local,7.0,8.0,9.0,11.0,12.0,14.0,16.0,21.0,28.0,29.0,32.0,37.0,38.0,38.0,41.0,43.0,44.0,45.0,47.0,48.0,47.0,51.0,55.0,56.0,56.0,56.0,57.0,59.0,61.0,63.0,65.0,68.0,70.0,76.0,80.0,80.0,80.0,81.0,81.0,85.0,92.0,96.0,96.0,98.0,94.0,94.0,108.0,110.0,103.0,107.0,108.0,106.0,105.0,105.0,107.0,109.0
         Other Federal Programs*,327.0,432.0,577.0,693.0,709.0,760.0,606.0,438.0,463.0,597.0,923.0,1096.0,957.0,976.0,1084.0,695.0,793.0,824.0,913.0,1079.0,1309.0,1291.0,1124.0,996.0,1016.0,1058.0,1084.0,1154.0,1233.0,1292.0,1511.0,1800.0,2001.0,2206.0,2413.0,2487.0,2756.0,3049.0,3328.0,3781.0,4384.0,5209.0,5579.0,5908.0,6167.0,6256.0,6306.0,6606.0,6826.0,7177.0,7366.0,8835.0,10226.0,10326.0,9700.0,10418.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,529.0,574.0,681.0,655.0,815.0,789.0,628.0,593.0,603.0,511.0,530.0,639.0,868.0,686.0,1350.0,1631.0,1657.0,1671.0,1832.0,2016.0,1748.0,1469.0,1988.0,2349.0,2514.0,2744.0,2941.0,3037.0,3064.0,3160.0,3094.0,3105.0,3144.0,3244.0,3321.0,3377.0,3335.0,3199.0,3415.0,3392.0
         Other State and Local Programs**,2211.0,2385.0,2492.0,2756.0,2957.0,3271.0,3031.0,2640.0,2923.0,3204.0,3589.0,3682.0,3839.0,4296.0,4922.0,5321.0,5227.0,5662.0,6319.0,7074.0,7389.0,8454.0,9151.0,9546.0,9600.0,10133.0,12417.0,13721.0,14801.0,15018.0,15889.0,16126.0,16011.0,17304.0,18422.0,17490.0,17330.0,17935.0,18497.0,18841.0,18750.0,20363.0,21753.0,23879.0,25776.0,26928.0,27584.0,28631.0,29543.0,30754.0,32626.0,31865.0,30827.0,31204.0,30977.0,32294.0
         School Health,122.0,140.0,147.0,143.0,151.0,168.0,187.0,215.0,242.0,263.0,290.0,308.0,321.0,346.0,377.0,400.0,433.0,509.0,559.0,600.0,663.0,708.0,753.0,795.0,847.0,919.0,986.0,1040.0,1099.0,1185.0,1293.0,1363.0,1416.0,1553.0,1701.0,1785.0,1890.0,2037.0,2197.0,2330.0,2483.0,2689.0,2888.0,3032.0,3193.0,3363.0,3569.0,3895.0,4089.0,4201.0,4293.0,4282.0,4318.0,4435.0,4536.0,4612.0
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,2975.0,7750.0,9316.0,10719.0,12315.0,14447.0,16824.0,19194.0,23338.0,28449.0,33244.0,38656.0,44072.0,51034.0,60957.0,72252.0,81478.0,91602.0,100780.0,108556.0,117788.0,128671.0,138577.0,156928.0,176959.0,206194.0,235785.0,262688.0,290286.0,316108.0,338083.0,355538.0,361201.0,378783.0,405783.0,451004.0,491171.0,528724.0,576976.0,620278.0,672792.0,717591.0,768567.0,826062.0,863998.0,897446.0,934257.0,972918.0,1038124.0,1103508.0
